Category,Content Rating,count
ART_AND_DESIGN,Everyone,61
ART_AND_DESIGN,Everyone 10+,1
ART_AND_DESIGN,Teen,3
AUTO_AND_VEHICLES,Everyone,83
AUTO_AND_VEHICLES,Everyone 10+,1
AUTO_AND_VEHICLES,Teen,1
BEAUTY,Everyone,45
BEAUTY,Everyone 10+,2
BEAUTY,Mature 17+,3
BEAUTY,Teen,3
BOOKS_AND_REFERENCE,Everyone,202
BOOKS_AND_REFERENCE,Everyone 10+,5
BOOKS_AND_REFERENCE,Mature 17+,3
BOOKS_AND_REFERENCE,Teen,21
BUSINESS,Everyone,445
BUSINESS,Everyone 10+,1
BUSINESS,Mature 17+,1
BUSINESS,Teen,13
COMICS,Adults only 18+,2
COMICS,Everyone,26
COMICS,Everyone 10+,3
COMICS,Mature 17+,7
COMICS,Teen,22
COMMUNICATION,Everyone,345
COMMUNICATION,Mature 17+,10
COMMUNICATION,Teen,32
DATING,Everyone,21
DATING,Mature 17+,201
DATING,Teen,12
EDUCATION,Everyone,144
EDUCATION,Everyone 10+,8
EDUCATION,Mature 17+,3
EDUCATION,Teen,1
ENTERTAINMENT,Everyone,39
ENTERTAINMENT,Everyone 10+,5
ENTERTAINMENT,Mature 17+,9
ENTERTAINMENT,Teen,96
EVENTS,Everyone,53
EVENTS,Everyone 10+,3
EVENTS,Teen,8
FAMILY,Everyone,1529
FAMILY,Everyone 10+,131
FAMILY,Mature 17+,50
FAMILY,Teen,261
FAMILY,Unrated,1
FINANCE,Everyone,361
FINANCE,Teen,5
FOOD_AND_DRINK,Everyone,117
FOOD_AND_DRINK,Everyone 10+,2
FOOD_AND_DRINK,Teen,8
GAME,Everyone,608
GAME,Everyone 10+,131
GAME,Mature 17+,74
GAME,Teen,331
HEALTH_AND_FITNESS,Everyone,307
HEALTH_AND_FITNESS,Everyone 10+,7
HEALTH_AND_FITNESS,Mature 17+,7
HEALTH_AND_FITNESS,Teen,20
HOUSE_AND_HOME,Everyone,86
HOUSE_AND_HOME,Teen,2
LIBRARIES_AND_DEMO,Everyone,85
LIFESTYLE,Everyone,345
LIFESTYLE,Everyone 10+,5
LIFESTYLE,Mature 17+,9
LIFESTYLE,Teen,23
MAPS_AND_NAVIGATION,Everyone,133
MAPS_AND_NAVIGATION,Everyone 10+,1
MAPS_AND_NAVIGATION,Mature 17+,1
MAPS_AND_NAVIGATION,Teen,2
MEDICAL,Everyone,442
MEDICAL,Everyone 10+,9
MEDICAL,Mature 17+,7
MEDICAL,Teen,5
NEWS_AND_MAGAZINES,Everyone,169
NEWS_AND_MAGAZINES,Everyone 10+,66
NEWS_AND_MAGAZINES,Mature 17+,14
NEWS_AND_MAGAZINES,Teen,34
PARENTING,Everyone,58
PARENTING,Mature 17+,1
PARENTING,Teen,1
PERSONALIZATION,Everyone,322
PERSONALIZATION,Everyone 10+,5
PERSONALIZATION,Mature 17+,9
PERSONALIZATION,Teen,56
PHOTOGRAPHY,Everyone,318
PHOTOGRAPHY,Mature 17+,5
PHOTOGRAPHY,Teen,12
PRODUCTIVITY,Everyone,413
PRODUCTIVITY,Everyone 10+,1
PRODUCTIVITY,Mature 17+,1
PRODUCTIVITY,Teen,9
SHOPPING,Everyone,208
SHOPPING,Mature 17+,3
SHOPPING,Teen,49
SOCIAL,Everyone,101
SOCIAL,Everyone 10+,2
SOCIAL,Mature 17+,67
SOCIAL,Teen,125
SPORTS,Adults only 18+,1
SPORTS,Everyone,338
SPORTS,Everyone 10+,22
SPORTS,Mature 17+,7
SPORTS,Teen,16
TOOLS,Everyone,835
TOOLS,Mature 17+,2
TOOLS,Teen,5
TOOLS,Unrated,1
TRAVEL_AND_LOCAL,Everyone,251
TRAVEL_AND_LOCAL,Mature 17+,1
TRAVEL_AND_LOCAL,Teen,6
VIDEO_PLAYERS,Everyone,146
VIDEO_PLAYERS,Everyone 10+,2
VIDEO_PLAYERS,Mature 17+,3
VIDEO_PLAYERS,Teen,24
WEATHER,Everyone,78
WEATHER,Everyone 10+,1
WEATHER,Mature 17+,1
WEATHER,Teen,2
